rank,e15,e16,e17,e18,e19,e20,f64,agreement_residual,universe,intersection,denominator,local_cap,pattern_count,label_sets,cell_cap,selected
1,30,15,7,3,1,0,27,133007,229376,65535,2658705889,5,4320,5379616,116199705600,1
2,30,15,7,3,0,0,27,133007,229376,65535,2658705889,5,5760,5379616,154932940800,1
3,30,15,7,2,1,0,27,133007,229376,65535,2658705889,5,11520,5379616,309865881600,1
4,31,15,7,3,1,0,27,100239,196608,32767,3605602785,3,146880,1107568,488038763520,1
5,30,15,7,0,0,0,27,133007,229376,65535,2658705889,5,18432,5379616,495785410560,1
6,28,14,7,3,1,0,27,198543,294912,131071,764912097,26,240,94143280,587454067200,1
7,30,15,6,3,1,0,27,133007,229376,65535,2658705889,5,23040,5379616,619731763200,1
8,31,15,7,3,0,0,27,100239,196608,32767,3605602785,3,195840,1107568,650718351360,1
9,28,14,7,3,0,0,27,198543,294912,131071,764912097,26,320,94143280,783272089600,1
10,30,15,6,3,0,0,27,133007,229376,65535,2658705889,5,30720,5379616,826309017600,1
11,31,15,7,2,1,0,27,100239,196608,32767,3605602785,3,391680,1107568,1301436702720,1
12,28,14,7,2,1,0,27,198543,294912,131071,764912097,26,640,94143280,1566544179200,1
13,30,15,7,2,0,0,27,133007,229376,65535,2658705889,5,69120,5379616,1859195289600,1
14,29,14,7,3,1,0,27,165775,262144,98303,1711808993,10,8640,23535820,2033494848000,1
15,31,15,7,0,0,0,27,100239,196608,32767,3605602785,3,626688,1107568,2082298724352,1
16,28,14,7,0,0,0,27,198543,294912,131071,764912097,26,1024,94143280,2506470686720,1
17,30,15,7,1,0,0,27,133007,229376,65535,2658705889,5,96768,5379616,2602873405440,1
18,31,15,6,3,1,0,27,100239,196608,32767,3605602785,3,783360,1107568,2602873405440,1
19,30,15,7,3,1,0,26,133007,262144,65535,511255009,34,4320,18156204,2666783243520,1
20,29,14,7,3,0,0,27,165775,262144,98303,1711808993,10,11520,23535820,2711326464000,1
21,31,15,6,3,0,0,27,100239,196608,32767,3605602785,3,1044480,1107568,3470497873920,1
22,30,15,7,3,0,0,26,133007,262144,65535,511255009,34,5760,18156204,3555710991360,1
23,31,15,7,3,1,0,26,100239,229376,32767,2531893729,6,146880,4272048,3764870461440,1
24,30,14,7,3,1,0,27,133007,229376,65535,2658705889,5,146880,5379616,3950789990400,1
25,31,15,7,3,0,0,26,100239,229376,32767,2531893729,6,195840,4272048,5019827281920,1
26,31,14,7,3,1,0,27,100239,196608,32767,3605602785,3,1566720,1107568,5205746810880,1
27,30,14,7,3,0,0,27,133007,229376,65535,2658705889,5,195840,5379616,5267719987200,1
28,29,14,7,2,1,0,27,165775,262144,98303,1711808993,10,23040,23535820,5422652928000,1
29,30,15,6,2,1,0,27,133007,229376,65535,2658705889,5,230400,5379616,6197317632000,1
30,31,14,7,3,0,0,27,100239,196608,32767,3605602785,3,2088960,1107568,6940995747840,1
31,30,15,7,2,1,0,26,133007,262144,65535,511255009,34,11520,18156204,7111421982720,1
32,31,15,7,2,0,0,27,100239,196608,32767,3605602785,3,2350080,1107568,7808620216320,1
33,29,14,7,0,0,0,27,165775,262144,98303,1711808993,10,36864,23535820,8676244684800,1
34,28,14,7,2,0,0,27,198543,294912,131071,764912097,26,3840,94143280,9399265075200,1
35,31,15,7,2,1,0,26,100239,229376,32767,2531893729,6,391680,4272048,10039654563840,1
36,30,14,7,2,1,0,27,133007,229376,65535,2658705889,5,391680,5379616,10535439974400,1
37,28,14,6,3,1,0,27,198543,294912,131071,764912097,26,4320,94143280,10574173209600,1
38,30,15,4,2,1,0,27,133007,229376,65535,2658705889,5,405504,5379616,10907279032320,1
39,31,15,7,1,0,0,27,100239,196608,32767,3605602785,3,3290112,1107568,10932068302848,1
40,30,15,7,0,0,0,26,133007,262144,65535,511255009,34,18432,18156204,11378275172352,1
41,28,14,7,1,0,0,27,198543,294912,131071,764912097,26,5376,94143280,13158971105280,1
42,31,14,7,2,1,0,27,100239,196608,32767,3605602785,3,4177920,1107568,13881991495680,1
