e15,e16,e17,e18,e19,e20,pattern_count,q110,q41_rank,q41_selected,x28_nonpaired_sets,x28_cap,x175_rank,x175_selected
0,0,0,0,0,0,1,0,,0,1118770292513804288,1118770292513804288,501,0
1,0,0,0,0,0,64,0,,0,629308289539014912,40275730530496954368,720,0
2,0,0,0,0,0,1984,0,,0,349615716412464790,693637581362330143360,890,0
3,0,0,0,0,0,39680,0,,0,191724747712250495,7607637989222099641600,1053,0
4,0,0,0,0,0,575360,0,,0,103719945485517915,59676307834547587574400,1203,0
5,0,0,0,0,0,6444032,0,,0,55317304260280108,356466478806981344915456,1308,0
6,0,0,0,0,0,57996288,0,,0,29065024273231972,1685663518477352138919936,1387,0
7,0,0,0,0,0,430829568,0,,0,15033633245313120,6476933716548689514332160,1451,0
8,0,0,0,0,0,2692684800,0,,0,7648690598799184,20595512915289461009203200,1492,0
9,0,0,0,0,0,14360985600,0,,0,3824345299563030,54921367776452360122368000,1524,0
10,0,0,0,0,0,66060533760,0,,0,1877405874412338,124022434147838574609530880,1556,0
11,0,0,0,0,0,264242135040,0,,0,903936161791772,238858021331720705184890880,1579,0
12,0,0,0,0,0,924847472640,0,,0,426384981993340,394341072968192408312217600,1596,0
13,0,0,0,0,0,2845684531200,0,,0,196793068618572,560010991215250493433446400,1603,0
14,0,0,0,0,0,7724000870400,0,,0,88749815261540,685503650327974163644416000,1609,0
15,0,0,0,0,0,18537602088960,0,,0,39049918715744,723891854758694174840586240,1613,0
16,0,0,0,0,0,39392404439040,0,,0,16735679449776,659258653447706607133655040,1608,0
17,0,0,0,0,0,74150408355840,0,,0,6973199770775,517065610549816132632576000,1600,0
18,0,0,0,0,0,123584013926400,0,,0,2818953098829,348377539023551571532185600,1591,0
19,0,0,0,0,0,182123809996800,0,,0,1103068603890,200895056828297801367552000,1571,0
20,0,0,0,0,0,236760952995840,0,,0,416714805914,98661794575675142449397760,1546,0
21,0,0,0,0,0,270583946280960,0,,0,151532656696,41002304239241617641308160,1514,0
22,0,0,0,0,0,270583946280960,0,,0,52860229080,14303129385781959642316800,1478,0
23,0,0,0,0,0,235290388070400,0,,0,17620076360,4145834604574481055744000,1428,0
24,0,0,0,0,0,176467791052800,0,,0,5586853480,985899692551248543744000,1365,0
25,0,0,0,0,0,112939386273792,0,,0,1676056044,189292740969839720398848,1270,0
26,0,0,0,0,0,60813515685888,0,,0,472733756,28748601685754750435328,1140,0
27,0,0,0,0,0,27028229193728,0,,0,124403620,3362409553889444495360,996,0
